,Proyecto de Ley,Palabra Clave,Estado,Fecha Radicación,Resumen,Tipo,link,ID
10,Por la cual se expiden las normas para la organización y funcionamiento de las Provincias Administrativas y de Planificación - PAP. ,"Provincias Administrativas y de Planificación, PAP",Publicación,"abr. 23, 2019","Establecer las normas generales para la organización de Provincias Administrativas y de Planificación como esquemas asociativos territoriales; dotar a las entidades territoriales de los recursos normativos para la conformación de las Provincias y promover la articulación supramunicipal e integración rural y urbana bajo un enfoque de equidad social, diversidad cultural, gestión ambiental y desarrollo integral.",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-la-cual-se-expiden-las-normas-para-la-organizacion-y-funcionamiento-de-las-provincias-administrativas-y-de-planificacion---pap-provincias-administrativas-y-de-planificacion-pap/9959/,11
11,"Por medio de la cual se promueve la educación emocional en las instituciones educativas de pre-escolar, primaria, básica y media en Colombia. ",Educación emocional,Publicación,"abr. 23, 2019","La presente ley tiene como fin promover e implementar, de manera transversal, la educación emocional en las instituciones educativas de los niveles preescolar, primaria, básica y media del país.",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-de-la-cual-se-promueve-la-educacion-emocional-en-las-instituciones-educativas-de-pre-escolar-primaria-basica-y-media-en-colombia-educacion-emocional/9954/,12
12,"Por la cual se modifica y adiciona la Ley 5ª de 1992, se crea la Comisión Legal para la Protección Integral de la Infancia y la Adolescencia del Congreso de la República de Colombia y se dictan otras disposiciones.",Crea la Comisión Legal para la Protección Integral de la Infancia y la Adolescencia,Publicación,"abr. 11, 2019","La presente Ley tiene por objeto la creación de la Comisión Legal para la Protección Integral de la Infancia y la Adolescencia del Congreso de la República de Colombia, con el fin de contribuir a la protección y promoción de los derechos de la infancia y la adolescencia, y el seguimiento de las políticas y acciones encaminadas a su reconocimiento a través de la labor legislativa y de control político.",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-la-cual-se-modifica-y-adiciona-la-ley-5-de-1992-se-crea-la-comision-legal-para-la-proteccion-integral-de-la-infancia-y-la-adolescencia-del-congreso-de-la-republica-de-colombia-y-se-dictan-otras-disposicionescrea-la-comision-legal-para-la-proteccion-integral-de-la-infancia-y-la-adolescencia/9953/,13
13,Por medio del cual se crea la Subdirección Nacional de Vías Terciarias y se dictan otras disposiciones. ,Crea la Subdirección Nacional de Vías Terciarias,Publicación,"abr. 11, 2019","El objeto de la presente ley es crear la Subdirección Nacional de Vías Terciarias con el propósito de lograr la integración regional y el acceso a los servicios sociales y a los mercados, incidir favorablemente sobre el precio de los alimentos como garantía del derecho a la alimentación y mejorar el ingreso de la población campesina. Hará parte de la dirección operativa del Instituto Nacional de Vías (Invías).",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-del-cual-se-crea-la-subdireccion-nacional-de-vias-terciarias-y-se-dictan-otras-disposiciones-crea-la-subdireccion-nacional-de-vias-terciarias/9938/,14
14,Por medio de la cual se modifica el artículo 261 del Código Penal Colombiano Ley 599 de 2000. ,Usurpación de inmuebles,Publicación,"abr. 11, 2019",NA,Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-de-la-cual-se-modifica-el-articulo-261-del-codigo-penal-colombiano-ley-599-de-2000-usurpacion-de-inmuebles/9958/,15
15,"Por la cual se establece el fuero de paternidad, se amplía el periodo de presunción de despido por motivo de embarazo o lactancia, y se dictan otras disposiciones. ",Establece fuero de paternidad,Publicación,"abr. 10, 2019","Se prohíbe el despido de todo trabajador cuya cónyuge, pareja o compañera permanente se encuentre en estado de embarazo y no tenga un empleo formal. Esta prohibición se activará con la notificación formal al empleador del estado de embarazo de la cónyuge, pareja o compañera permanente, y una declaración, que se entiende presentada bajo la gravedad del juramento, de que ella carece de un empleo formal. la notificación podrá hacerse verbalmente o por escrito.",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-la-cual-se-establece-el-fuero-de-paternidad-se-amplia-el-periodo-de-presuncion-de-despido-por-motivo-de-embarazo-o-lactancia-y-se-dictan-otras-disposiciones-establece-fuero-de-paternidad/9945/,16
16,"Por el cual se modifican y adicionan los artículos 173, 178 y 189 de la Constitución Política de Colombia. ",Aprobación de ascensos militares y policiales,Publicada Ponencia Primer Debate,"abr. 10, 2019",Tiene como fin que las Comisiones Segundas de ambas Cámaras sesionen conjuntamente para que se fortalezca el trámite para la aprobación de los ascensos militares y de policía que decreta el gobierno ante la Rama Legislativa.,Proyecto Acto Legislativo,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-el-cual-se-modifican-y-adicionan-los-articulos-173-178-y-189-de-la-constitucion-politica-de-colombia-aprobacion-de-ascensos-militares-y-policiales/9937/,17
17,"Por medio de la cual se regula el cobro correspondiente a matrículas extraordinarias o extemporáneas de las instituciones de educación superior e instituciones de educación preescolar, básica y media. ",Regular las matrículas extemporáneas,Publicación,"abr. 10, 2019","La presente ley tiene como objeto regular el cobro de matrícula extraordinaria en las instituciones de educación superior e instituciones de educación preescolar, básica y media, con el fin de reducir las barreras de acceso y permanencia a este nivel educativo.",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-de-la-cual-se-regula-el-cobro-correspondiente-a-matriculas-extraordinarias-o-extemporaneas-de-las-instituciones-de-educacion-superior-e-instituciones-de-educacion-preescolar-basica-y-media-regular-las-matriculas-extemporaneas/9939/,18
18,"Por el cual se declara patrimonio cultural e inmaterial de la Nación la Hermandad Nazarena del municipio de Santiago de Tolú, departamento de Sucre, y se dictan otras disposiciones. ","Declara patrimonio la Hermandad Nazarena de Tolú, Sucre",Publicación,"abr. 10, 2019","Autoriza al Gobierno Nacional para que a través del Ministerio de Cultura, contribuya a la promoción, protección, conservación, divulgación y financiación de las costumbres y enseñanzas que la comunidad de la Hermandad Nazarena del Municipio de Santiago de Tolú, en el Departamento de Sucre.",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-el-cual-se-declara-patrimonio-cultural-e-inmaterial-de-la-nacion-la-hermandad-nazarena-del-municipio-de-santiago-de-tolu-departamento-de-sucre-y-se-dictan-otras-disposiciones-declara-patrimonio-la-hermandad-nazarena-de-tolu-sucre/9950/,19
19,Por medio del cual se autoriza el uso de plantas de beneficio móviles para el sacrificio y faenado de las especies de animales que han sido declaradas como aptas para el consumo humano. ,Plantas de beneficio móviles,Publicación,"abr. 10, 2019",La presente tiene por objeto autorizar el uso de plantas de beneficio móviles para el sacrificio y faenado de las especies de animales que han sido declaradas como aptas para el consumo humano.,Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-del-cual-se-autoriza-el-uso-de-plantas-de-beneficio-moviles-para-el-sacrificio-y-faenado-de-las-especies-de-animales-que-han-sido-declaradas-como-aptas-para-el-consumo-humano-plantas-de-beneficio-moviles/9951/,20
20,Por medio de la cual se autoriza a los cuerpos de bomberos de Colombia a prestación del servicio de trasladado pacientes en salud. ,Autoriza a los bomberos el traslado de pacientes,Publicación,"abr. 10, 2019",La presente ley tiene por objeto autorizar a los Cuerpos de Bomberos de Colombia la prestación del servicio de trasladado de pacientes con el fin de facilitar la atención oportuna y eficiente de los ciudadanos en situaciones de urgencias y/o emergencias en salud.,Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-de-la-cual-se-autoriza-a-los-cuerpos-de-bomberos-de-colombia-a-prestacion-del-servicio-de-trasladado-pacientes-en-salud-autoriza-a-los-bomberos-el-traslado-de-pacientes/9952/,21
21,Por la cual se dictan disposiciones sobre ecología humana. ,Ecología humana,Publicación,"abr. 10, 2019","Tiene como objetivo crear la cátedra de “Ecología Humana” y establecer que su estudio sea de obligatorio cumplimiento en las Instituciones Educativas del orden oficial y privado, de conformidad con lo dispuesto en el artículo 79 de la Constitución Política de Colombia. ",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-la-cual-se-dictan-disposiciones-sobre-ecologia-humana-ecologia-humana/9949/,22
22,"Por medio de la cual se reconoce como patrimonio cultural inmaterial de la Nación el Festival Provinciano de Acordeones, Canción Inédita y Piquería, del municipio de Pivijay (Magdalena), y se dictan otras disposiciones. ","Festival Provinciano de Acordeones, Canción Inédita y Piquería de Pivijay, Magdalena como patrimonio",Publicación,"abr. 9, 2019","El presente proyecto de ley tiene como objetivo fundamental declarar Patrimonio Cultural Inmaterial de la Nación al Festival Provinciano de Acordeones, Canción Inédita y Piquería, del municipio de Pivijay (Magdalena). Adicionalmente que sea incluido en la lista representativa de patrimonio cultural inmaterial del ámbito nacional, con su respectivo plan especial de salvaguardia, acuerdo social para la identificación, revitalización, documentación, divulgación y protección.",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-de-la-cual-se-reconoce-como-patrimonio-cultural-inmaterial-de-la-nacion-el-festival-provinciano-de-acordeones-cancion-inedita-y-piqueria-del-municipio-de-pivijay-magdalena-y-se-dictan-otras-disposiciones-festival-provinciano-de-acordeones-cancion-inedita-y-piqueria-de-pivijay-magdalena-como-patrimonio/9947/,23
23,Por medio de la cual se promueve el respeto y la defensa de la dignidad y memoria de las víctimas de graves crímenes y se dictan otras disposiciones. ,Protección de víctimas,Publicación,"abr. 9, 2019","La presente ley tiene por objeto promover el respeto y la defensa de la dignidad y memoria de las víctimas de violaciones al Derecho Internacional de los Derechos Humanos, infracciones al Derecho Internacional Humanitario, narcotráfico y actos terroristas, mediante la prohibición de conmemoraciones públicas a sus victimarios.",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-de-la-cual-se-promueve-el-respeto-y-la-defensa-de-la-dignidad-y-memoria-de-las-victimas-de-graves-crimenes-y-se-dictan-otras-disposiciones-proteccion-de-victimas/9944/,24
24,"Por medio de la cual se establecen mecanismos institucionales eficientes para la permanencia y graduación estudiantil en instituciones de educación superior, de la población víctima del conflicto armado y se dictan otras disposiciones. ",Graduación estudiantil,Publicación,"abr. 9, 2019", La presente ley tiene por objeto:,Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-de-la-cual-se-establecen-mecanismos-institucionales-eficientes-para-la-permanencia-y-graduacion-estudiantil-en-instituciones-de-educacion-superior-de-la-poblacion-victima-del-conflicto-armado-y-se-dictan-otras-disposiciones-graduacion-estudiantil/9948/,25
25,"Por medio del cual se establece un régimen especial para adquirir la nacionalidad colombiana por adopción, para hijos e hijas de venezolanos en situación de inmigración irregular nacidos en territorio colombiano, con el fin de prevenir la apatridia. ",Registro de nacidos en Colombia de padres venezolanos,Aprobado Primer Debate,"abr. 8, 2019",Se podrá expedir Carta de Naturaleza o Resolución de Inscripción a los hijos e hijas de extranjeros venezolanos en situación de inmigración irregular nacidos en el territorio colombiano desde 2015 y hasta un año posterior a la promulgación de esta ley. La prueba de nacionalidad es el registro civil de nacimiento o en su defecto el certificado de nacido vivo en Colombia sin exigencia del domicilio.   ,Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-del-cual-se-establece-un-regimen-especial-para-adquirir-la-nacionalidad-colombiana-por-adopcion-para-hijos-e-hijas-de-venezolanos-en-situacion-de-inmigracion-irregular-nacidos-en-territorio-colombiano-con-el-fin-de-prevenir-la-apatridia-registro-de-nacidos-en-colombia-de-padres-venezolanos/9942/,26
26,"Por medio del cual se modifican los artículos 1°, 4°, 8°, 10, 21 y se dictan disposiciones orientadas a fortalecer el Sistema Nacional de Convivencia Escolar y formación para el ejercicio de los derechos humanos, la educación para la sexualidad, la prevención y mitigación de la violencia escolar creado a través de la Ley 1620 de 2013. ",Sistema Nacional de Convivencia Escolar,Publicación,"abr. 8, 2019","Crea el Sistema Nacional de Convivencia Escolar y Formación para el Ejercicio de los Derechos Humanos, la Educación para la Sexualidad y la Prevención y Mitigación de la Violencia Escolar que promoverá y fortalecerá de igual manera, en todos los niveles educativos, la formación en valores ciudadanos, en derechos, deberes y obligaciones, en el respeto por los bienes públicos y privados, así como la participación de los padres en el acompañamiento al proceso formativo de sus hijos.",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-del-cual-se-modifican-los-articulos-1-4-8-10-21-y-se-dictan-disposiciones-orientadas-a-fortalecer-el-sistema-nacional-de-convivencia-escolar-y-formacion-para-el-ejercicio-de-los-derechos-humanos-la-educacion-para-la-sexualidad-la-prevencion-y-mitigacion-de-la-violencia-escolar-creado-a-traves-de-la-ley-1620-de-2013-sistema-nacional-de-convivencia-escolar/9946/,27
27,Por medio de la cual se regulan algunos asuntos relativos la obtención de la nacionalidad en Colombia.  ,Registro de nacidos en Colombia de padres extranjeros,Publicada Ponencia Primer Debate,"abr. 8, 2019","La presente ley regula el registro civil de nacimiento de los niños y niñas nacidos en Colombia, que son hijos de padres extranjeros que han migrado y han obtenido su domicilio en este país, con fundamento en lo establecido en la Constitución Política, los tratados y los convenios internacionales debidamente suscritos, ratificados y vigentes en Colombia, con especial referencia a los instrumentos internacionales en materia de protección de derechos humanos.",Proyecto de ley Estatutaria,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-de-la-cual-se-regulan-algunos-asuntos-relativos-la-obtencion-de-la-nacionalidad-en-colombia-registro-de-nacidos-en-colombia-de-padres-extranjeros/9941/,28
28,Por medio de la cual se dictan normas de protección y seguridad vial para motociclistas. ,Seguridad vial para motociclistas,Publicación,"abr. 8, 2019",A través de esta ley se incorporan nuevos requerimientos que garanticen la vida y la integridad física de los motociclistas en Colombia. ,Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-de-la-cual-se-dictan-normas-de-proteccion-y-seguridad-vial-para-motociclistas-seguridad-vial-para-motociclistas/9943/,29
29,"Por medio del cual se establecen normas para el incentivo de las cooperativas, entidades sin ánimo de lucro y sujetos similares, y se dictan otras disposiciones. ",Incentivos a cooperativas,Publicación,"abr. 5, 2019","Contribuir al cumplimiento de las obligaciones tributarias de carácter nacional y territorial, así como otras obligaciones de carácter administrativo, mercantil, seguridad social, y prevención del riesgo, entre otras, a favor de las Cooperativas, Entidades Sin Ánimo de Lucro y sujetos similares, por medio del establecimiento de incentivos a favor de estos y que les permitan regularizar su situación de incumplimiento actual.",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-del-cual-se-establecen-normas-para-el-incentivo-de-las-cooperativas-entidades-sin-animo-de-lucro-y-sujetos-similares-y-se-dictan-otras-disposiciones-incentivos-a-cooperativas/9935/,30
30,Por medio de la cual se adoptan normas para el cumplimiento del pago en los plazos establecidos por parte del Estado. ,Pago en plazo justo por parte del Estado,Publicación,"abr. 5, 2019","La presente ley tiene como objeto desarrollar el principio de buena fe contractual, mediante la adopción de una serie de medidas que protejan a las personas naturales y jurídicas que provean o suministren bienes y servicios al Estado y/o a los particulares, y que por tal hecho sean sometidas a condiciones contractuales gravosas en relación con el pago y el plazo para hacer efectivo el mismo. ",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-de-la-cual-se-adoptan-normas-para-el-cumplimiento-del-pago-en-los-plazos-establecidos-por-parte-del-estado-pago-en-plazo-justo-por-parte-del-estado/9936/,31
31,"Por la cual se reconfiguran los organismos de acción comunal, se modifican algunos artículos de la Ley 743 de 2002, y se dictan otras disposiciones. ",Modifica los organismos de acción comunal,Publicación,"abr. 4, 2019","Implementar un nuevo modelo de estructura de los organismos de acción comunal a partir del funcionamiento como órganos colegiados, correspondiendo a las categorías de los municipios según la ley 617 de 2000, pero también a fomentar el cambio generacional, a incentivar la participación ciudadana y a crear mecanismos de cohesión comunitaria que permita a los habitantes de ese territorio en común volver a juntarse para emprender acciones colectivas de movilización ciudadana a partir de los diferentes grupos poblacionales y la implementación de las TIC que permita re significar la acción comunal.",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-la-cual-se-reconfiguran-los-organismos-de-accion-comunal-se-modifican-algunos-articulos-de-la-ley-743-de-2002-y-se-dictan-otras-disposiciones-modifica-los-organismos-de-accion-comunal/9934/,32
32,Por el cual se modifica el artículo 361 de la Constitución Política. ,Regalías,Acumulado,"abr. 4, 2019","Tiene dos objetivos principales: i) Fortalecer la participación de las entidades territoriales beneficiarias de las asignaciones directas, para incrementar el impacto de las inversiones en dichos territorios; ii) Ajuste en el funcionamiento y operación del Sistema que en línea con criterios de austeridad, permita dar solución y superar los cuellos de botella existentes, hacer más expedito y ágil el Sistema y reducir la dispersión en la asignación de recursos, mejorando en suma, la calidad de la inversión de estos.",Proyecto Acto Legislativo,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-el-cual-se-modifica-el-articulo-361-de-la-constitucion-politica-regalias/9933/,33
33,Por medio del cual se modifica el artículo 44 de la Constitución Política. ,Delitos sexuales no conexos,Publicada Ponencia Primer Debate,"abr. 4, 2019","""Los delitos sexuales contra los niños, niñas y adolescentes estarán sometidos únicamente a las sanciones establecidas en el régimen penal ordinario y serán investigados y juzgados conforme las normas definidas en el Código de Procedimiento Penal"".",Proyecto Acto Legislativo,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-del-cual-se-modifica-el-articulo-44-de-la-constitucion-politica-delitos-sexuales-no-conexos/9930/,34
34,Por medio de la cual se crean y organizan las Autoridades Portuarias Regionales y se dictan otras disposiciones. ,Crea Autoridades Portuarias Regionales,Publicación,"abr. 3, 2019","Las Autoridades Portuarias Regionales tendrán como objeto, la administración y operación de manera descentralizada, autónoma, integral y sistémica, de los puertos, muelles y terminales, los canales de acceso, canales navegables y canales privados, sus zonas de navegación y flotación y demás componentes de la Infraestructura de transporte que correspondan a cada una de las zonas portuarias bajo su jurisdicción.",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-de-la-cual-se-crean-y-organizan-las-autoridades-portuarias-regionales-y-se-dictan-otras-disposiciones-crea-autoridades-portuarias-regionales/9932/,35
35,Por el cual se reforma la Constitución Política en materia de administración de justicia y se dictan otras disposiciones. ,Reforma a la Justicia,Publicada Ponencia Segundo Debate,"abr. 3, 2019","Mediante el presente proyecto de Acto Legislativo se propone al Congreso de la República unos ajustes puntuales a la estructura de la administración de justicia para propender por la seguridad jurídica, el acceso a la justicia, la eficiencia de la justicia y la calidad de la misma",Proyecto Acto Legislativo,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-el-cual-se-reforma-la-constitucion-politica-en-materia-de-administracion-de-justicia-y-se-dictan-otras-disposiciones-reforma-a-la-justicia/9940/,36
36,Por el cual se modifica el artículo 65 de la Constitución Política de Colombia. ,Derecho a la alimentación,Publicada Ponencia Primer Debate,"abr. 3, 2019","El Estado garantizará el derecho a la alimentación adecuada y a estar protegido contra el hambre y la desnutrición. Así mismo, garantizará condiciones de seguridad alimentaria y soberanía alimentaria en el territorio nacional. La producción de alimentos gozará de la especial protección del Estado. Para tal efecto, se otorgará prioridad al desarrollo integral de las actividades agrícolas, pecuarias, pesqueras, forestales y agroindustriales, así como también a la construcción de obras de infraestructura física y adecuación de tierras.",Proyecto Acto Legislativo,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-el-cual-se-modifica-el-articulo-65-de-la-constitucion-politica-de-colombia-derecho-a-la-alimentacion/9962/,37
37,Por medio de la cual se dictan medidas para la protección del adulto mayor y se fortalece la política de envejecimiento. ,Adulto mayor,Publicación,"abr. 3, 2019","Esta ley tiene por objeto garantizar el acceso de los adultos mayores a los servicios complementarios de seguridad social, y la atención de programas especiales que dignifiquen el envejecimiento en Colombia.",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-de-la-cual-se-dictan-medidas-para-la-proteccion-del-adulto-mayor-y-se-fortalece-la-politica-de-envejecimiento-adulto-mayor/9928/,38
